date_collecte,type_dimension,valeur_dimension,nombre_offres
2026-08-31,Competence,Développer des stratégies pour l'intégration des systèmes,1
2026-08-15,Competence,Sécurité des systèmes d'information,1
2026-08-14,Competence,Techniques de machine learning en bioinformatique,1
2026-08-31,Competence,"Réaliser un dépannage sur site ou le remorquage d'un engin (engin de chantier, machine agricole, etc.)",1
2026-08-14,Competence,Rédiger des documents d'ingénierie (rédaction des spécifications fonctionnelles et livrables techniques des solutions),2
2026-08-31,Competence,Bash et environnement Linux,1
2026-08-31,Competence,Encourager l'innovation responsable,1
2026-08-31,Competence,.NET Core,1
2026-08-31,Competence,Big data Analytics,1
2026-08-31,Competence,Analyse de données expérimentales,1
2026-08-14,Competence,Développer des tableaux de bord pour suivre les indicateurs de performance (KPI),2
2026-08-14,Competence,Optimiser la visibilité des publications sur les réseaux sociaux,2
2026-08-14,Competence,Se représenter un objet dans l'espace,1
2026-08-14,Competence,Docker,3
2026-08-15,Competence,Concevoir et gérer un projet,23
2026-08-31,Competence,Utilisation d'outils Business Intelligence (BI) - Informatique décisionnelle,2
2026-08-31,Competence,Concevoir et gérer un projet,34
2026-08-31,Competence,Déterminer des mesures correctives,41
2026-08-31,Competence,"Superviser, coordonner les réalisations ou développements informatiques (collaborateurs, sous-traitants)",1
2026-08-14,Competence,Mastère spécialisé expert big data engineer,4
2026-08-14,Competence,Documenter les processus et les architectures d'IA,9
2026-08-31,Competence,"Rédiger un rapport, un compte rendu d'activité",1
2026-08-31,Competence,Développement PowerBI,1
2026-08-31,Competence,Réaliser un audit,1
2026-08-31,Competence,"Mise en prodution de modele IA, ML (Exp 2 ans)",1
2026-08-31,Competence,SAP ABAP,1
2026-08-14,Competence,Compétences en traitement de données de santé,1
2026-08-14,Competence,Concevoir une application web,16
2026-08-31,Competence,Gérer la documentation technique et les archives de projets,1
2026-08-14,Competence,Méthodes de clustering et classification,1
2026-08-14,Competence,Administrer un système d'informations,7
2026-08-14,Competence,Définir la stratégie des systèmes d'informations,2
2026-08-15,Competence,"Jira, confluence, Power BI, SQL, TOGAF, BPMN",1
2026-08-31,Competence,Recueillir et analyser les besoins client,6
2026-08-14,Competence,Power BI,2
2026-08-14,Competence,Surveiller le fonctionnement d'applicatifs et logiciels,2
2026-08-14,Competence,Solide expertise en Python avec des bases de code,1
2026-08-31,Competence,Rédaction d’articles scientifiques en anglais,1
2026-08-31,Competence,Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation,1
2026-08-31,Competence,"Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logistiques et physiques",4
2026-08-14,Competence,Développement de produits basés sur l'IA,3
2026-08-14,Competence,Déploiement de services cloud (cloud computing),6
2026-08-31,Competence,Collaborer avec des équipes internationales pour des projets de recherche,1
2026-08-14,Competence,LLM,1
2026-08-14,Competence,Traitement de texte Utilisation experte,2
2026-08-31,Competence,Gérer les risques associés aux technologies d'IA,1
2026-08-31,Competence,Optimiser les performances des systèmes cloud,1
2026-08-31,Competence,Expliquer et faire respecter les règles et procédures,1
2026-08-14,Competence,Réaliser des études et développements informatiques,1
2026-08-31,Competence,Maintenance préventive et curative de deuxième niveau,1
2026-08-31,Competence,Optimiser la performance de l'organisation,1
2026-08-14,Competence,Veille concurrentielle sur le marché digital,2
2026-08-14,Competence,Collaborer avec les équipes pour comprendre les besoins en données,2
2026-08-14,Competence,"Analyser les données d'une étude, d'un projet",1
2026-08-31,Competence,Gérer les stocks de matériel de maintenance et de pièces de rechange,1
2026-08-31,Competence,Garantir la confidentialité des informations,2
