numero_fiche,intitule_certification,nombre_offres,codes_rome_distincts,methode_correspondance,niveau_confiance
RNCP38492,Manager de l’innovation dans les agro-activités et bio-industries (MS),9,1,correspondance_officielle_france_competences,officiel
RNCP38535,"Ingénieur diplômé de l'Institut national des sciences appliquées de Strasbourg, spécialité génie électrique",10,2,correspondance_officielle_france_competences,officiel
RNCP38536,"Ingénieur diplômé de l’Institut National des Sciences Appliquées Strasbourg, spécialité Plasturgie",12,3,correspondance_officielle_france_competences,officiel
RNCP38673,Ingénieur diplômé de l'Ecole Nationale Supérieure pour la Performance Industrielle et la Maintenance Aéronautique de l'Institut polytechnique de Bordeaux,12,3,correspondance_officielle_france_competences,officiel
RNCP38684,"Instrumentation, mesure, métrologie (fiche nationale)",10,2,correspondance_officielle_france_competences,officiel
RNCP38704,Chimie et sciences des matériaux (fiche nationale),10,2,correspondance_officielle_france_competences,officiel
RNCP38929,Expert en entrepreneuriat deeptech et innovation (MS),9,1,correspondance_officielle_france_competences,officiel
RNCP39000,Ingénierie et innovation en images et réseaux (fiche nationale),17,3,correspondance_officielle_france_competences,officiel
RNCP39143,Titre ingénieur - Diplôme d’ingénieur de l’École nationale supérieure des mines d'Albi-Carmaux de l'Institut Mines-Télécom,10,2,correspondance_officielle_france_competences,officiel
RNCP39149,"Ingénieur diplômé de l'Ecole Supérieure d'Ingénieurs de Rennes de l'Université de Rennes, spécialité matériaux",12,3,correspondance_officielle_france_competences,officiel
RNCP39165,"Titre ingénieur - Ingénieur diplômé de l’Ecole Nationale Supérieure des Mines de Paris, spécialité énergétique",9,1,correspondance_officielle_france_competences,officiel
RNCP39166,"Ingénieur diplômé de l’École nationale supérieure d'arts et métiers, spécialité environnement et gestion des risques",9,1,correspondance_officielle_france_competences,officiel
RNCP39170,"Ingénieur diplômé de l’École nationale supérieure d'arts et métiers, spécialité génie énergétique",9,1,correspondance_officielle_france_competences,officiel
RNCP39244,Manager de l'innovation et du développement d'activité (MS),9,1,correspondance_officielle_france_competences,officiel
RNCP39453,"Ingénieur diplômé de l’École Nationale Supérieure d’Ingénieurs de l’Université de Poitiers, spécialité Energétique et Environnement",10,2,correspondance_officielle_france_competences,officiel
RNCP39472,"Ingénieur diplômé de l’école d’ingénieurs de l’université de Caen, spécialité génie industriel",12,3,correspondance_officielle_france_competences,officiel
