rome_code,competence_code,competence_libelle_rome,nombre_offres
M1405,100113,Logiciels de gestion de base de données,1
M1879,113798,Programmation en Python,1
H1520,124680,Procédures de contrôle qualité,1
H3302,300208,Approvisionner une machine en matière première ou en produit,1
M1405,109527,Adapter les outils de traitement statistique de données,21
I1404,106840,Configurer le poste de travail aux besoins de l'utilisateur,1
M1827,300586,Concevoir et développer une solution digitale,6
H1215,300452,"Collecter et analyser des données, des informations",2
M1876,484474,Documenter les procédures techniques et les configurations,1
M1801,300204,Administrer un système d'informations,2
M1805,113281,Script Shell,2
M1851,486361,Planifier des sessions de brainstorming pour l'innovation en données,2
I1616,122776,Installer des équipements optionnels ou complémentaires d'adaptation aux engins de chantier,1
M1811,109794,Intelligence artificielle,4
K2202,300152,Préparer du matériel en prévision d'un travail,1
M1889,508619,Implémenter des solutions d'IA dans des environnements de production,1
M1419,116314,MySQL,3
M1827,113798,Programmation en Python,2
K2108,482192,Optimiser les ressources pédagogiques disponibles,1
M1884,109971,Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives,1
M1867,109797,Définir la stratégie des systèmes d'informations,2
M1811,300462,Rendre compte de son activité,2
M1717,482278,Sensibiliser les équipes aux enjeux de la Responsabilité Sociétale et Environnementale (RSE),1
M1872,109818,Elaborer des solutions techniques et fonctionnelles,1
M1811,109870,Java,2
H1215,300188,"Rédiger un cahier des charges, des spécifications techniques",1
M1861,109846,Concevoir une application web,2
M1718,300113,Concevoir des supports de communication et d'image,3
M1805,113798,Programmation en Python,2
M1717,482282,Encourager l'innovation responsable,1
C1209,123012,Analyser la recevabilité d'une demande de crédit,1
M1805,491512,Licence pro mention métiers de l'informatique : applications web,1
M1805,300587,Concevoir et maintenir un système de cybersécurité,1
M1872,120325,Présenter les évolutions du système d'information au commanditaire,1
H1215,101315,Analyse de données expérimentales,2
M1876,300019,Accompagner l'appropriation d'un outil par ses utilisateurs,1
M1806,494049,Documentation technique,1
M1818,109862,Architecture web,1
M1818,116349,Déploiement de services cloud (cloud computing),1
M1811,403788,Mobiliser une vision stratégique et d'anticipation,1
K2205,104167,Caractéristiques des produits d'entretien,1
M1502,300004,Recruter et intégrer une personne,1
I1306,400681,Effectuer les réglages sur les machines et équipements dans un objectif de performance énergétique et environnementale de l'équipement,1
M1895,109916,Réaliser les relevés terrain et collecter des données alphanumériques et graphiques,1
I1310,118673,Maintenance préventive et curative de deuxième niveau,1
M1855,481371,Gestion de projet informatique,2
K2108,300492,Actualiser régulièrement ses connaissances,1
K2108,122320,"Corriger des évaluations (exercices, travaux pratiques, examens)",1
H1215,402072,"Concevoir, conduire et vérifier des travaux d'analyse en laboratoire dans le respect des Bonnes Pratiques de Laboratoire (BPL)",1
L1505,125836,Régler des caméras,1
H1208,104552,Régulation et instrumentation,1
M1806,479269,Gestion des risques informatiques,1
C1209,505180,Evaluer les risques associés aux clients et aux transactions,1
M1405,113312,"Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement",2
D1106,300282,"Entretenir, nettoyer un espace, un lieu, un local",1
M1419,117698,Concevoir des modèles de détection des insights consommateurs,1
H1215,300146,Elaborer des processus et des modes opératoires techniques,1
M1806,404223,Elaborer et suivre des tableaux de bord des incidents sécurité,1
M1811,300242,Déterminer des mesures correctives,1
M1717,508471,Gérer le budget alloué aux projets d'innovation,1
M1204,122032,"Calculer les marges, la rentabilité d'un produit ou d'une activité",2
M1811,117691,Définir les solutions de stockage et de structuration des données,1
M1827,300199,"Développer un logiciel, un système d'informations, une application",13
M1827,119245,Collaborer avec une équipe projet,9
M1806,300458,"Structurer, synthétiser des informations",4
M1880,122645,Concevoir un projet de santé,1
M1211,300449,Expliquer et faire respecter les règles et procédures,1
M1855,109846,Concevoir une application web,18
M1851,117209,Améliorer les processus de reporting financier,2
M1818,491247,Master mention informatique,1
M1810,300204,Administrer un système d'informations,6
M1810,109971,Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives,5
M1805,300688,Application web,9
M1828,300449,Expliquer et faire respecter les règles et procédures,1
M1405,300200,Exploiter des solutions de Data Science ou d'Intelligence Artificielle,3
M1811,404054,"Maîtrise d'un outil de gestion de flux (Kafka, Flink…)",6
